Experiment_Type,Model_Type,Concurrency,Load_Type,Round,Duration_Sec,RPS,Avg_Delay_Ms,P95_Delay_Ms,Max_Memory_MB,Success_Rate
Exp1_Concurrency,Coroutine,2048,Pure_IO,2,0.57,5761.69,288,506,274.36,100.00
Exp1_Concurrency,Process,2048,Pure_IO,3,10.90,302.74,1402,3742,10285.01,100.00
Exp1_Concurrency,Thread,2048,Pure_IO,3,6.57,502.49,1458,3234,483.89,100.00
Exp1_Concurrency,Coroutine,2048,Pure_IO,3,0.59,5574.58,291,532,288.71,100.00
Exp1_Concurrency,Process,3000,Pure_IO,1,11.84,278.75,2127,4994,15915.39,100.00
Exp1_Concurrency,Thread,3000,Pure_IO,1,9.94,236.25,4455,6376,581.93,71.15
Exp1_Concurrency,Coroutine,3000,Pure_IO,1,0.64,5124.54,396,591,236.17,100.00
Exp1_Concurrency,Process,3000,Pure_IO,2,12.12,272.33,1057,2874,8108.75,100.00
Exp1_Concurrency,Thread,3000,Pure_IO,2,13.93,0.00,5031,5193,118.88,0.00
Exp1_Concurrency,Coroutine,3000,Pure_IO,2,1.40,2358.86,722,1154,187.18,100.00
Exp1_Concurrency,Process,3000,Pure_IO,3,11.90,277.38,1522,3653,14469.38,100.00
Exp1_Concurrency,Thread,3000,Pure_IO,3,12.81,129.62,5514,7910,557.03,50.33
Exp1_Concurrency,Coroutine,3000,Pure_IO,3,0.60,5499.82,373,532,254.80,100.00
Exp2_LoadCompare,Process,16,CPU_Bound_HTML,1,11.30,291.91,54,68,198.25,100.00
Exp2_LoadCompare,Thread,16,CPU_Bound_HTML,1,1.57,2104.54,7,12,74.16,100.00
Exp2_LoadCompare,Coroutine,16,CPU_Bound_HTML,1,1.25,2650.45,6,11,80.84,100.00
Exp2_LoadCompare,Process,16,CPU_Bound_HTML,2,11.08,297.87,53,65,198.84,100.00
Exp2_LoadCompare,Thread,16,CPU_Bound_HTML,2,1.27,2589.17,6,12,70.68,100.00
Exp2_LoadCompare,Coroutine,16,CPU_Bound_HTML,2,1.25,2637.39,6,11,71.52,100.00
Exp2_LoadCompare,Process,16,CPU_Bound_HTML,3,10.75,307.10,51,61,198.62,100.00
Exp2_LoadCompare,Thread,16,CPU_Bound_HTML,3,1.20,2739.33,5,11,72.24,100.00
Exp2_LoadCompare,Coroutine,16,CPU_Bound_HTML,3,1.23,2678.56,5,12,80.24,100.00
Exp2_LoadCompare,Process,16,Pure_IO,1,10.64,310.08,51,63,196.88,100.00
Exp2_LoadCompare,Thread,16,Pure_IO,1,0.37,8864.82,1,2,36.59,100.00
Exp2_LoadCompare,Coroutine,16,Pure_IO,1,0.24,13634.13,1,2,28.68,100.00
Exp2_LoadCompare,Process,16,Pure_IO,2,10.74,307.37,51,61,197.38,100.00
Exp2_LoadCompare,Thread,16,Pure_IO,2,0.41,8081.08,1,3,35.39,100.00
Exp2_LoadCompare,Coroutine,16,Pure_IO,2,0.24,13601.44,1,2,28.85,100.00
Exp2_LoadCompare,Process,16,Pure_IO,3,10.80,305.53,52,62,197.86,100.00
Exp2_LoadCompare,Thread,16,Pure_IO,3,0.40,8239.42,1,3,34.59,100.00
Exp2_LoadCompare,Coroutine,16,Pure_IO,3,0.27,12113.09,1,2,28.74,100.00
